projectLink,succeeded,goal,amountPledged,timeFrame,duration,location,isUs,backers,comments,updates,rewardOptions,faq
https://www.kickstarter.com/projects/791794541/printn-fog-music-and-sound-edition/,true,€490,€1.034,Jan 18. 2021 - Feb 15. 2021,28,Lyon. France,false,27,1,8,5,0
https://www.kickstarter.com/projects/1173449368/lord-cirenegs-city-facades/,true,NZ$ 100,NZ$ 20.118,Jan 25. 2021 - Feb 16. 2021,21,Hastings. NZ,false,574,56,7,2,0
https://www.kickstarter.com/projects/meditationpillow/pillow-talk-meditation-and-audiobook-pillow/,false,USD 10000.0,USD 397.0,Dec 17. 2020 - Feb 15. 2021,60,Chicago. IL,true,6,0,0,1,0
https://www.kickstarter.com/projects/jackbrainy/jack-brainy-el-perrito-viajero/,false,MXN 25000.0,MXN 4568.8,Jan 12. 2021 - Feb 15. 2021,33,Mexico City. Mexico,false,19,0,0,5,3
https://www.kickstarter.com/projects/gamethatsong/game-that-song-gen-x-expansion-pack/,true,$200,$968,Feb 8. 2021 - Feb 15. 2021,7,San Diego. CA,false,61,10,2,4,0
https://www.kickstarter.com/projects/oakbound/the-grey-company/,true,£400,£900,Feb 6. 2021 - Feb 14. 2021,8,Stonehouse. UK,false,48,3,4,1,0
https://www.kickstarter.com/projects/gallantknightgames/swordpoint-a-swashbuckling-zine/,true,$100,$2.240,Feb 5. 2021 - Feb 12. 2021,7,Fargo. ND,true,441,37,6,2,0
https://www.kickstarter.com/projects/impioussaint/forbidden-psalm-miniature-gaming-inspired-by-mork-borg/,true,£300,£6.199,Feb 5. 2021 - Feb 16. 2021,11,Cardiff. UK,false,230,65,15,10,2
https://www.kickstarter.com/projects/aethercorp/a-small-collection-of-flowers-and-entanglements/,true,£200,£454,Feb 4. 2021 - Feb 10. 2021,5,Poole. UK,false,89,3,4,2,0
https://www.kickstarter.com/projects/swishandflickco/candy-toad-reversible-ita-bag-by-swish-and-flick/,true,$500,$16.076,Feb 4. 2021 - Feb 10. 2021,6,San Mateo. CA,false,210,16,1,5,0
https://www.kickstarter.com/projects/queengames/metro-deluxe-big-box-city-edition/,true,$10.000,$72.578,Feb 4. 2021 - Feb 16. 2021,12,Dallas. TX,true,589,125,5,5,0
https://www.kickstarter.com/projects/strongholdpressgames/the-last-valley-an-osr-setting/,true,$500,$817,Feb 3. 2021 - Feb 11. 2021,7,San Jose. CA,false,77,1,0,4,0
https://www.kickstarter.com/projects/crowcreations/celestial-crow-enamel-pins/,true,$420,$2.689,Feb 3. 2021 - Feb 17. 2021,14,Jenkintown. PA,true,88,8,4,9,0
https://www.kickstarter.com/projects/spellsword/realms-of-peril/,true,$3.500,$21.755,Feb 3. 2021 - Feb 17. 2021,14,Walla Walla. WA,false,714,57,5,10,7
https://www.kickstarter.com/projects/tconde/glirky-gleboldts-guide-to-glorious-grub/,true,$600,$1.634,Feb 3. 2021 - Feb 17. 2021,14,Rochester. NY,true,100,4,5,4,0
